id,chart,action,item,label,lat,lng,doc,effective,use,all_nearest_id,all_dist_nmi,all_a1_to_2,use_nearest_id,use_dist_nmi,use_a1_to_2
129,18650,add,DANGER CIRCLE,Obstn,37.732,-122.3452,"WNM 01/14, NGA",,n,234,0.17393398246295153,173.73124976745567,,,
165,18650,delete,Channel Limits PT 1 OF 6,None,37.79211,-122.2737,"LNM 38/18, 11th Dist",,n,199,0.09287368215939737,210.71783088187257,,,
166,18650,delete,Channel Limits PT 2 OF 6,None,37.79016,-122.2703,"LNM 38/18, 11th Dist",,n,389,0.08518549297027636,303.3459574528391,,,
167,18650,delete,Channel Limits PT 3 OF 6,None,37.78989,-122.2742,"LNM 38/18, 11th Dist",,n,199,0.058457760368415705,336.0605887315759,,,
168,18650,delete,Channel Limits PT 4 OF 6,None,37.78703,-122.2694,"LNM 38/18, 11th Dist",,n,209,0.06353993796876017,296.3632861259317,,,
169,18650,delete,Channel Limits PT 5 OF 6,None,37.78408,-122.2631,"LNM 38/18, 11th Dist",,n,203,0.07870827842722458,295.28562580991405,,,
170,18650,delete,Channel Limits PT 6 OF 6,None,37.78189,-122.257,"LNM 38/18, 11th Dist",,n,390,0.020684543001094808,136.51632840216013,,,
592,18650,add,Submerged Pile,Subm Pile  Chart No. 1: K43.1,37.79129,-122.2875,Not Published,,n,255,0.029361787587694813,255.79770984415643,,,
599,18650,add,Stranded Wreck,rep (2005),37.72389,-122.3375,"WNM 17/05, NGA",,n,200,0.0,0.0,,,
618,18650,delete,LIGHT,"Fl 2.5s 14ft ""B""",37.81333,-122.4081,"WNM 02/05, NGA",,n,643,0.11718443389827014,211.74511935729015,,,
643,18650,delete,LIGHT B,"Fl 2.5s ""B""",37.81167,-122.4094,"WNM 19/04, NGA",,n,644,0.08510274130081753,142.19076188494085,,,
644,18650,delete,LIGHT D,"Fl 4s ""D""",37.81055,-122.4083,"WNM 19/04, NGA",,n,645,0.07072985552280601,160.4103460237568,,,
645,18650,delete,LIGHT F,"Fl 6s ""F""",37.80944,-122.4078,"WNM 19/04, NGA",,n,586,0.05181866328991149,164.0625104789716,,,
651,18650,relocate,SAUSALITO LT 2,"Fl R 4s 14ft 4M ""2""",37.85594,-122.4687,"LNM   /04, 11th Dist",,n,370,0.0,0.0,,,
0,18651,change,Tabulation - REDWOOD CITY HARBOR CHANNEL DEPTHS,Tabulation - REDWOOD CITY HARBOR CHANNEL DEPTHS,37.5,-122.2833,Not Yet Published,,n,53,0.0,0.0,,,
158,18651,change,REDWOOD CREEK LIGHT 11,"Fl G 4s 15ft 4M ""11""",37.52529,-122.1991,"WNM 19/07, NGA",,n,173,0.0,0.0,,,
169,18651,change,REDWOOD CREEK LIGHT 11,"Fl G 4s 4M ""11""",37.52529,-122.1991,"WNM 05/07, NGA",,n,158,0.0,0.0,,,
170,18651,change,REDWOOD CREEK LIGHT 21,"Fl G 4s 4M ""21""",37.5063,-122.2158,"WNM 05/07, NGA",,n,172,0.0,0.0,,,
200,18651,add,Stranded Wreck,rep (2005),37.72389,-122.3375,"WNM 17/05, NGA",,n,599,0.0,0.0,,,
264,18651,revise,DEPTH LEGEND,7 feet rep 2003,37.66917,-122.3819,Not Published,,n,321,0.05912071166445196,254.6921486648411,,,
265,18651,revise,SOUND IN FT,4,37.66939,-122.3797,Not Published,,n,266,0.05490707607988049,72.1729610646521,,,
266,18651,add,SOUND IN FT,6,37.66967,-122.3786,Not Published,,n,323,0.031612232527639596,26.80469692383207,,,
311,18651,revise,SAN BRUNO SHL CHANNEL,28 FT FOR WIDTH OF 500 FT AUG 1998,37.68,-122.3336,Unknown,,n,4,0.389553942622149,153.9528392356923,,,
312,18651,revise,LEGEND,9 FT REP 1994,37.59433,-122.3133,Unknown,,n,73,0.03061688434311506,180.0,,,
136,18653,change,Tabulation - Richmond Harbor and Southampton Shoal Channel Depths,Tabulation - Richmond Harbor and Southampton Shoal Channel Depths,37.95639,-122.3064,Not Yet Published,,n,74,0.0,0.0,,,
285,18653,add,SHOAL SOUNDING,17 Rep (2007) PA,37.9105,-122.4168,"WNM 22/07, NGA",,n,265,0.13590904193589823,31.515425391716178,,,
364,18653,delete,DASHED MAGENTA LINE,NONE,37.90147,-122.4194,"LNM 17/70, 11th Dist",,n,356,0.039571347811457706,193.85199793271042,,,
370,18653,relocate,SAUSALITO LT 2,"Fl R 4s 14ft 4M ""2""",37.85594,-122.4687,"LNM   /04, 11th Dist",,n,651,0.0,0.0,,,
399,18653,revise,FIXED BRIDGE RT#101,HOR CL 35 FT,37.94333,-122.5152,Unknown,,n,333,0.385335016837046,95.63008093657811,,,
0,18654,change,Tabulation - Napa River,Tabulation - Napa River,38.26417,-122.3142,Not Yet Published,,n,61,0.0,0.0,,,
364,18654,add,DANGEROUS WRECK,NONE,38.06367,-122.2987,"WNM 45/04, NGA",,n,42,0.1724501525852502,140.92087076677672,,,
129,18650,add,DANGER CIRCLE,Obstn,37.732,-122.3452,"WNM 01/14, NGA",,n,234,0.17393398246295153,173.73124976745567,,,
165,18650,delete,Channel Limits PT 1 OF 6,None,37.79211,-122.2737,"LNM 38/18, 11th Dist",,n,199,0.09287368215939737,210.71783088187257,,,
166,18650,delete,Channel Limits PT 2 OF 6,None,37.79016,-122.2703,"LNM 38/18, 11th Dist",,n,389,0.08518549297027636,303.3459574528391,,,
167,18650,delete,Channel Limits PT 3 OF 6,None,37.78989,-122.2742,"LNM 38/18, 11th Dist",,n,199,0.058457760368415705,336.0605887315759,,,
168,18650,delete,Channel Limits PT 4 OF 6,None,37.78703,-122.2694,"LNM 38/18, 11th Dist",,n,209,0.06353993796876017,296.3632861259317,,,
169,18650,delete,Channel Limits PT 5 OF 6,None,37.78408,-122.2631,"LNM 38/18, 11th Dist",,n,203,0.07870827842722458,295.28562580991405,,,
170,18650,delete,Channel Limits PT 6 OF 6,None,37.78189,-122.257,"LNM 38/18, 11th Dist",,n,390,0.020684543001094808,136.51632840216013,,,
592,18650,add,Submerged Pile,Subm Pile  Chart No. 1: K43.1,37.79129,-122.2875,Not Published,,n,255,0.029361787587694813,255.79770984415643,,,
599,18650,add,Stranded Wreck,rep (2005),37.72389,-122.3375,"WNM 17/05, NGA",,n,200,0.0,0.0,,,
618,18650,delete,LIGHT,"Fl 2.5s 14ft ""B""",37.81333,-122.4081,"WNM 02/05, NGA",,n,643,0.11718443389827014,211.74511935729015,,,
643,18650,delete,LIGHT B,"Fl 2.5s ""B""",37.81167,-122.4094,"WNM 19/04, NGA",,n,644,0.08510274130081753,142.19076188494085,,,
644,18650,delete,LIGHT D,"Fl 4s ""D""",37.81055,-122.4083,"WNM 19/04, NGA",,n,645,0.07072985552280601,160.4103460237568,,,
645,18650,delete,LIGHT F,"Fl 6s ""F""",37.80944,-122.4078,"WNM 19/04, NGA",,n,586,0.05181866328991149,164.0625104789716,,,
651,18650,relocate,SAUSALITO LT 2,"Fl R 4s 14ft 4M ""2""",37.85594,-122.4687,"LNM   /04, 11th Dist",,n,370,0.0,0.0,,,
0,18651,change,Tabulation - REDWOOD CITY HARBOR CHANNEL DEPTHS,Tabulation - REDWOOD CITY HARBOR CHANNEL DEPTHS,37.5,-122.2833,Not Yet Published,,n,53,0.0,0.0,,,
158,18651,change,REDWOOD CREEK LIGHT 11,"Fl G 4s 15ft 4M ""11""",37.52529,-122.1991,"WNM 19/07, NGA",,n,173,0.0,0.0,,,
169,18651,change,REDWOOD CREEK LIGHT 11,"Fl G 4s 4M ""11""",37.52529,-122.1991,"WNM 05/07, NGA",,n,158,0.0,0.0,,,
170,18651,change,REDWOOD CREEK LIGHT 21,"Fl G 4s 4M ""21""",37.5063,-122.2158,"WNM 05/07, NGA",,n,172,0.0,0.0,,,
200,18651,add,Stranded Wreck,rep (2005),37.72389,-122.3375,"WNM 17/05, NGA",,n,599,0.0,0.0,,,
264,18651,revise,DEPTH LEGEND,7 feet rep 2003,37.66917,-122.3819,Not Published,,n,321,0.05912071166445196,254.6921486648411,,,
265,18651,revise,SOUND IN FT,4,37.66939,-122.3797,Not Published,,n,266,0.05490707607988049,72.1729610646521,,,
266,18651,add,SOUND IN FT,6,37.66967,-122.3786,Not Published,,n,323,0.031612232527639596,26.80469692383207,,,
311,18651,revise,SAN BRUNO SHL CHANNEL,28 FT FOR WIDTH OF 500 FT AUG 1998,37.68,-122.3336,Unknown,,n,4,0.389553942622149,153.9528392356923,,,
312,18651,revise,LEGEND,9 FT REP 1994,37.59433,-122.3133,Unknown,,n,73,0.03061688434311506,180.0,,,
136,18653,change,Tabulation - Richmond Harbor and Southampton Shoal Channel Depths,Tabulation - Richmond Harbor and Southampton Shoal Channel Depths,37.95639,-122.3064,Not Yet Published,,n,74,0.0,0.0,,,
285,18653,add,SHOAL SOUNDING,17 Rep (2007) PA,37.9105,-122.4168,"WNM 22/07, NGA",,n,265,0.13590904193589823,31.515425391716178,,,
364,18653,delete,DASHED MAGENTA LINE,NONE,37.90147,-122.4194,"LNM 17/70, 11th Dist",,n,356,0.039571347811457706,193.85199793271042,,,
370,18653,relocate,SAUSALITO LT 2,"Fl R 4s 14ft 4M ""2""",37.85594,-122.4687,"LNM   /04, 11th Dist",,n,651,0.0,0.0,,,
399,18653,revise,FIXED BRIDGE RT#101,HOR CL 35 FT,37.94333,-122.5152,Unknown,,n,333,0.385335016837046,95.63008093657811,,,
0,18654,change,Tabulation - Napa River,Tabulation - Napa River,38.26417,-122.3142,Not Yet Published,,n,61,0.0,0.0,,,
364,18654,add,DANGEROUS WRECK,NONE,38.06367,-122.2987,"WNM 45/04, NGA",,n,42,0.1724501525852502,140.92087076677672,,,
820,18650,revise,SOUNDING IN FT,43,37.81386,-122.4028,"LNM 39/00, 11th Dist",2000w39,n,460,0.00913224554081962,148.71300229268013,,,
821,18650,add,SOUNDING IN FT,48,37.82453,-122.4327,"LNM 39/00, 11th Dist",2000w39,n,135,0.34571616888194917,71.1545215675385,,,
822,18650,revise,SOUNDING IN FT & DEPTH CURVE,57,37.81889,-122.4184,"LNM 39/00, 11th Dist",2000w39,n,404,0.2620210643562106,307.2199284471162,,,
820,18650,revise,SOUNDING IN FT,43,37.81386,-122.4028,"LNM 39/00, 11th Dist",2000w39,n,460,0.00913224554081962,148.71300229268013,,,
821,18650,add,SOUNDING IN FT,48,37.82453,-122.4327,"LNM 39/00, 11th Dist",2000w39,n,135,0.34571616888194917,71.1545215675385,,,
822,18650,revise,SOUNDING IN FT & DEPTH CURVE,57,37.81889,-122.4184,"LNM 39/00, 11th Dist",2000w39,n,404,0.2620210643562106,307.2199284471162,,,
819,18650,revise,OAKLAND OUTER/IN HBRS,JUL 2000 TAB,37.81028,-122.2897,"LNM 40/00, 11th Dist",2000w40,n,7,0.0,0.0,,,
440,18653,revise,RICHMND HBR & S.HMPTN SHL,AUG 2000 TAB,37.95639,-122.3064,"LNM 40/00, 11th Dist",2000w40,n,74,0.0,0.0,,,
819,18650,revise,OAKLAND OUTER/IN HBRS,JUL 2000 TAB,37.81028,-122.2897,"LNM 40/00, 11th Dist",2000w40,n,7,0.0,0.0,,,
440,18653,revise,RICHMND HBR & S.HMPTN SHL,AUG 2000 TAB,37.95639,-122.3064,"LNM 40/00, 11th Dist",2000w40,n,74,0.0,0.0,,,
338,18651,revise,REDWOOD CITY HBR,JUL 2000 TAB,37.5,-122.2833,"LNM 41/00, 11th Dist",2000w41,n,53,0.0,0.0,,,
338,18651,revise,REDWOOD CITY HBR,JUL 2000 TAB,37.5,-122.2833,"LNM 41/00, 11th Dist",2000w41,n,53,0.0,0.0,,,
807,18650,revise,SOUNDING IN FT,31,37.83186,-122.3886,"LNM 42/00, 11th Dist",2000w42,n,808,0.21118491135839712,220.62606091272923,,,
808,18650,revise,SOUNDING IN FT,44,37.82919,-122.3915,"LNM 42/00, 11th Dist",2000w42,n,429,0.09154220961545763,226.4828017495655,,,
809,18650,revise,SOUNDING IN FT,37,37.82828,-122.3867,"LNM 42/00, 11th Dist",2000w42,n,810,0.18474799882151413,225.94374532906713,,,
810,18650,revise,SOUNDING IN FT,52,37.82614,-122.3895,"LNM 42/00, 11th Dist",2000w42,n,56,0.0563377823126539,329.66872495084704,,,
811,18650,revise,SOUNDING IN FT,36,37.82611,-122.3829,"LNM 42/00, 11th Dist",2000w42,n,812,0.1746362452535397,240.3306265179881,,,
812,18650,revise,SOUNDING IN FT,48,37.82467,-122.3861,"LNM 42/00, 11th Dist",2000w42,n,811,0.17463624525357518,60.3286640951535,,,
